theme,issue_summary,root_cause,recommended_action,confidence,evidence,ticket_id
Returns & Refunds,Customer is awaiting refund for a return and is concerned about delay.,Refund pending due to reverse pickup QC processing; refund has been approved but not yet credited.,Inform the customer that the refund of Rs 2124 has been approved and will be credited within 5-7 working days; advise them to check their account after that period and contact support if not received.,medium,"""Cx reported refund delay. Checked reverse pickup QC status. Refund approved, Rs 2124, 5-7 working days. Cx satisfied on chat.""",TK-252472
Returns & Refunds,"Customer awaiting courier pickup for Strata 3 headphones; refund processed without pickup, customer dissatisfied.",Pickup not completed by courier,"Confirm pickup status with courier, arrange immediate pickup if possible, and inform customer of the new pickup schedule; if pickup cannot be arranged, honor the refund and apologize for the inconvenience.",high,"""Refund processed without pickup as goodwill. Issue: pickup not done. Checked pickup AWB.""",TK-248051
Returns & Refunds,Customer wants to cancel an Orbit Mini order but the cancel button is greyed out and no action has occurred.,Unknown,Contact the customer via chat or phone to manually cancel the order and confirm cancellation status.,medium,"""i bought orbit mini on 09/08. change of mind, please stop the shipment. i tried cancel button, greyed out. nothing changed.""",TK-243725
Charging & Battery,"Left earbud does not charge in the case, remains dead each morning despite being stored overnight and using a different charger.",Unknown,"Observe the device for 48 hours as per SOP 4.2, request a photo of the left bud contacts, and if the issue persists, proceed with a replacement of the left bud.",medium,"""The left one is dead every morning even though it was in the case all night. I tried another charger. Nothing changed."" and agent notes: ""Issue: L bud no charge in case. Asked for photo of the bud contacts. (SOP 4.2)""",TK-247791
Connectivity,Pulse earbuds pairing not working; device not discoverable.,"Device was not discoverable, resolved after a reset.","Offer the customer a replacement or refund per policy, and confirm that the earbuds now pair successfully after reset.",high,"re: device not discoverable | chk phone os version -> reset done, paired ok",TK-251153
App & Firmware,"Firmware update for Pulse earbuds stalled for 2 hours and failed, but was completed after using recovery mode and retrying.","Firmware update process failed, likely due to incomplete update; recovery mode retry resolved the issue.",Instruct users to perform firmware updates via recovery mode and retry if the update stalls; provide clear steps for recovery mode usage.,high,"""firmware update stuck for 2 hours"" and ""cx reported firmware update failed. walked through recovery mode. update completed after retry.""",TK-245040
Charging & Battery,Left earbud of Arc neckband does not wake up or charge,Left earbud not taking charge,Replace the left earbud (replacement raised),high,"""left one just does not wake up""; ""cx states left earbud not taking charge""; ""rplc raised for the bud""",TK-241279
Connectivity,Device disconnects shortly after initial pairing,Unknown,"Ask the customer to forget the device and re-pair. If the issue recurs, advise a factory reset or contact support for further assistance.",high,"customer reached out - unable to pair with phone. walked through forget + re-pair. re-pair successful, rslvd on chat.",TK-252080
Delivery & Shipping,Customer has not received Orbit Mini after 17 days and is threatening to post on Twitter.,Unknown,"Check the shipment status with the carrier, provide updated tracking information to the customer, and offer a compensation or expedited replacement if the package is lost.",high,"""it has been 17 days & i have nothing in hand. i already checked the tracking page daily. fix this or i am posting on twitter.""",TK-249819
Delivery & Shipping,Customer has not received their order,Shipment was not received; RTO confirmed and order was reshipped,"Confirm the reshipment status with the courier, provide updated tracking information to the customer, and ensure delivery confirmation",high,"cx: shipment not rcvd | chk awb with courier -> rto confirmed, reshipped",TK-249251
Billing & Payments,Customer reports that the invoice PDF link returns a 404 error.,Unknown,"Verify the invoice link generation process, regenerate the PDF, and provide the customer with a valid link or a direct download of the invoice.",high,"""the invoice PDF link gives a 404""",TK-252432
Delivery & Shipping,"Order not delivered, tracking not updating for Airlite earbuds purchased on 25-11-2025.","Lost in transit, as indicated by agent notes and SOP 2.7.","Confirm refund has been processed, provide refund reference number, apologize, and offer a replacement or store credit if desired.",high,"""order not delivered, tracking not updating"" and ""refund initiated as lost in transit (SOP 2.7)""",TK-247751
Returns & Refunds,Customer’s return pickup was not completed on the scheduled date and has been rescheduled; customer expects a callback for confirmation.,Courier failed to execute the pickup on the originally scheduled date (15/07).,"Contact the courier to confirm pickup status, ensure pickup is completed on the new date (27 Jul), and provide the customer with a callback confirmation once the pickup is confirmed.",high,"Customer message: ""the app said pickup today, that was on 15/07 Tried: rescheduled pickup twice Expected: callback""; Agent notes: ""Cx reported pickup not done. Re-raised pickup with courier. Pickup rescheduled for 27 Jul.""",TK-243316
Delivery & Shipping,Customer received incorrect item instead of Pulse 2,Wrong item delivered,Replacement unit has been dispatched by warehouse,high,issue: wrong item delivered | raised w/ warehouse -> replacement unit dipsatched,TK-244182
Delivery & Shipping,Customer received a unit with a dent on the case immediately upon opening the box.,Damage occurred during shipping or handling before delivery.,Arrange reverse pickup for the damaged unit and ship a replacement to the customer.,high,"""cx states prior ticket for same issue. customer reached out - unit received damaged. photos received, damage confirmed. reverse pickup arranged. cx satisfied on chat.""",TK-245861
